Distance,Servo_Angle,Direction
95,44,ANTICLOCKWISE
162,85,CENTER
72,36,ANTICLOCKWISE
67,37,ANTICLOCKWISE
95,42,ANTICLOCKWISE
189,98,CENTER
79,39,ANTICLOCKWISE
197,97,CENTER
17,7,ANTICLOCKWISE
69,33,ANTICLOCKWISE
112,54,ANTICLOCKWISE
15,5,ANTICLOCKWISE
103,48,ANTICLOCKWISE
64,34,ANTICLOCKWISE
61,26,ANTICLOCKWISE
133,70,CENTER
167,80,CENTER
154,79,CENTER
72,33,ANTICLOCKWISE
101,54,ANTICLOCKWISE
192,100,CENTER
126,64,CENTER
136,71,CENTER
149,73,CENTER
138,73,CENTER
131,60,CENTER
43,21,ANTICLOCKWISE
57,31,ANTICLOCKWISE
126,58,ANTICLOCKWISE
25,13,ANTICLOCKWISE
78,39,ANTICLOCKWISE
102,52,ANTICLOCKWISE
85,46,ANTICLOCKWISE
153,73,CENTER
95,50,ANTICLOCKWISE
38,18,ANTICLOCKWISE
56,23,ANTICLOCKWISE
103,49,ANTICLOCKWISE
153,80,CENTER
185,91,CENTER
48,22,ANTICLOCKWISE
42,20,ANTICLOCKWISE
32,20,ANTICLOCKWISE
19,9,ANTICLOCKWISE
78,37,ANTICLOCKWISE
43,19,ANTICLOCKWISE
147,77,CENTER
156,82,CENTER
105,47,ANTICLOCKWISE
78,37,ANTICLOCKWISE
25,14,ANTICLOCKWISE
89,45,ANTICLOCKWISE
11,0,ANTICLOCKWISE
137,66,CENTER
161,76,CENTER
172,81,CENTER
170,82,CENTER
180,89,CENTER
21,7,ANTICLOCKWISE
74,32,ANTICLOCKWISE
177,92,CENTER
52,22,ANTICLOCKWISE
44,23,ANTICLOCKWISE
90,49,ANTICLOCKWISE
17,12,ANTICLOCKWISE
99,45,ANTICLOCKWISE
124,65,CENTER
144,70,CENTER
67,32,ANTICLOCKWISE
123,63,CENTER
173,89,CENTER
30,18,ANTICLOCKWISE
173,90,CENTER
110,58,ANTICLOCKWISE
161,77,CENTER
186,90,CENTER
45,18,ANTICLOCKWISE
105,54,ANTICLOCKWISE
160,79,CENTER
21,5,ANTICLOCKWISE
192,97,CENTER
108,57,ANTICLOCKWISE
39,14,ANTICLOCKWISE
122,59,ANTICLOCKWISE
121,63,CENTER
95,44,ANTICLOCKWISE
186,91,CENTER
149,77,CENTER
156,81,CENTER
37,16,ANTICLOCKWISE
92,50,ANTICLOCKWISE
120,59,ANTICLOCKWISE
78,36,ANTICLOCKWISE
149,77,CENTER
189,93,CENTER
62,32,ANTICLOCKWISE
153,79,CENTER
48,23,ANTICLOCKWISE
51,29,ANTICLOCKWISE
176,92,CENTER
142,68,CENTER
84,38,ANTICLOCKWISE
85,45,ANTICLOCKWISE
83,45,ANTICLOCKWISE
154,77,CENTER
16,10,ANTICLOCKWISE
179,92,CENTER
187,97,CENTER
14,6,ANTICLOCKWISE
175,84,CENTER
145,67,CENTER
95,45,ANTICLOCKWISE
154,78,CENTER
54,25,ANTICLOCKWISE
45,22,ANTICLOCKWISE
168,81,CENTER
198,99,CENTER
176,92,CENTER
99,46,ANTICLOCKWISE
48,21,ANTICLOCKWISE
182,87,CENTER
135,71,CENTER
157,80,CENTER
70,38,ANTICLOCKWISE
176,83,CENTER
140,73,CENTER
122,64,CENTER
65,27,ANTICLOCKWISE
175,86,CENTER
143,75,CENTER
53,25,ANTICLOCKWISE
89,44,ANTICLOCKWISE
173,83,CENTER
156,76,CENTER
194,93,CENTER
56,31,ANTICLOCKWISE
58,24,ANTICLOCKWISE
126,63,CENTER
127,60,CENTER
153,77,CENTER
194,101,CENTER
25,14,ANTICLOCKWISE
111,57,ANTICLOCKWISE
165,81,CENTER
17,12,ANTICLOCKWISE
101,48,ANTICLOCKWISE
99,51,ANTICLOCKWISE
195,93,CENTER
37,17,ANTICLOCKWISE
50,23,ANTICLOCKWISE
164,82,CENTER
154,80,CENTER
170,84,CENTER
166,80,CENTER
143,67,CENTER
124,61,CENTER
56,31,ANTICLOCKWISE
19,11,ANTICLOCKWISE
39,15,ANTICLOCKWISE
118,58,ANTICLOCKWISE
128,66,CENTER
42,21,ANTICLOCKWISE
74,33,ANTICLOCKWISE
186,92,CENTER
35,20,ANTICLOCKWISE
95,42,ANTICLOCKWISE
170,81,CENTER
114,54,ANTICLOCKWISE
138,68,CENTER
64,32,ANTICLOCKWISE
104,51,ANTICLOCKWISE
111,52,ANTICLOCKWISE
190,96,CENTER
62,30,ANTICLOCKWISE
92,41,ANTICLOCKWISE
94,50,ANTICLOCKWISE
119,54,ANTICLOCKWISE
60,28,ANTICLOCKWISE
199,94,CENTER
122,63,CENTER
41,16,ANTICLOCKWISE
101,52,ANTICLOCKWISE
48,28,ANTICLOCKWISE
171,85,CENTER
127,60,CENTER
132,62,CENTER
21,5,ANTICLOCKWISE
63,30,ANTICLOCKWISE
66,28,ANTICLOCKWISE
121,61,CENTER
94,43,ANTICLOCKWISE
84,39,ANTICLOCKWISE
112,56,ANTICLOCKWISE
47,19,ANTICLOCKWISE
107,49,ANTICLOCKWISE
39,16,ANTICLOCKWISE
61,33,ANTICLOCKWISE
175,82,CENTER
88,45,ANTICLOCKWISE
115,54,ANTICLOCKWISE
90,44,ANTICLOCKWISE
38,17,ANTICLOCKWISE
147,75,CENTER
154,81,CENTER
26,11,ANTICLOCKWISE
78,35,ANTICLOCKWISE
15,6,ANTICLOCKWISE
135,64,CENTER
120,63,CENTER
160,81,CENTER
89,44,ANTICLOCKWISE
153,78,CENTER
141,72,CENTER
141,72,CENTER
34,14,ANTICLOCKWISE
105,49,ANTICLOCKWISE
164,78,CENTER
70,39,ANTICLOCKWISE
60,27,ANTICLOCKWISE
30,14,ANTICLOCKWISE
101,54,ANTICLOCKWISE
70,35,ANTICLOCKWISE
158,79,CENTER
10,4,ANTICLOCKWISE
21,14,ANTICLOCKWISE
55,23,ANTICLOCKWISE
186,97,CENTER
54,30,ANTICLOCKWISE
35,20,ANTICLOCKWISE
56,31,ANTICLOCKWISE
65,27,ANTICLOCKWISE
35,15,ANTICLOCKWISE
10,7,ANTICLOCKWISE
122,58,ANTICLOCKWISE
189,96,CENTER
23,15,ANTICLOCKWISE
37,19,ANTICLOCKWISE
87,45,ANTICLOCKWISE
139,73,CENTER
23,13,ANTICLOCKWISE
124,63,CENTER
12,7,ANTICLOCKWISE
116,54,ANTICLOCKWISE
47,20,ANTICLOCKWISE
124,65,CENTER
128,63,CENTER
37,22,ANTICLOCKWISE
48,27,ANTICLOCKWISE
26,14,ANTICLOCKWISE
95,51,ANTICLOCKWISE
135,70,CENTER
154,75,CENTER
34,15,ANTICLOCKWISE
147,70,CENTER
118,55,ANTICLOCKWISE
120,58,ANTICLOCKWISE
120,60,CENTER
43,23,ANTICLOCKWISE
177,83,CENTER
92,50,ANTICLOCKWISE
178,88,CENTER
15,5,ANTICLOCKWISE
35,13,ANTICLOCKWISE
196,100,CENTER
68,34,ANTICLOCKWISE
130,60,CENTER
190,95,CENTER
30,15,ANTICLOCKWISE
79,40,ANTICLOCKWISE
121,58,ANTICLOCKWISE
103,53,ANTICLOCKWISE
64,35,ANTICLOCKWISE
140,67,CENTER
40,22,ANTICLOCKWISE
45,24,ANTICLOCKWISE
15,3,ANTICLOCKWISE
84,40,ANTICLOCKWISE
88,44,ANTICLOCKWISE
127,58,ANTICLOCKWISE
103,53,ANTICLOCKWISE
188,97,CENTER
88,46,ANTICLOCKWISE
35,14,ANTICLOCKWISE
182,90,CENTER
79,43,ANTICLOCKWISE
127,61,CENTER
28,12,ANTICLOCKWISE
29,9,ANTICLOCKWISE
149,69,CENTER
99,49,ANTICLOCKWISE
46,21,ANTICLOCKWISE
86,40,ANTICLOCKWISE
170,85,CENTER
187,95,CENTER
19,8,ANTICLOCKWISE
160,84,CENTER
181,86,CENTER
22,13,ANTICLOCKWISE
139,67,CENTER
74,36,ANTICLOCKWISE
82,36,ANTICLOCKWISE
18,11,ANTICLOCKWISE
47,24,ANTICLOCKWISE
172,81,CENTER
78,35,ANTICLOCKWISE
87,42,ANTICLOCKWISE
129,67,CENTER
171,82,CENTER
44,17,ANTICLOCKWISE
49,24,ANTICLOCKWISE
69,36,ANTICLOCKWISE
20,13,ANTICLOCKWISE
23,8,ANTICLOCKWISE
174,86,CENTER
92,50,ANTICLOCKWISE
71,33,ANTICLOCKWISE
98,53,ANTICLOCKWISE
98,45,ANTICLOCKWISE
49,26,ANTICLOCKWISE
48,26,ANTICLOCKWISE
23,8,ANTICLOCKWISE
134,67,CENTER
106,54,ANTICLOCKWISE
72,31,ANTICLOCKWISE
162,76,CENTER
62,33,ANTICLOCKWISE
113,53,ANTICLOCKWISE
48,21,ANTICLOCKWISE
143,68,CENTER
144,69,CENTER
51,23,ANTICLOCKWISE
24,7,ANTICLOCKWISE
164,80,CENTER
166,83,CENTER
194,92,CENTER
164,83,CENTER
42,19,ANTICLOCKWISE
95,43,ANTICLOCKWISE
19,8,ANTICLOCKWISE
132,70,CENTER
106,53,ANTICLOCKWISE
47,21,ANTICLOCKWISE
118,61,CENTER
189,96,CENTER
24,14,ANTICLOCKWISE
14,5,ANTICLOCKWISE
85,38,ANTICLOCKWISE
164,79,CENTER
173,84,CENTER
35,16,ANTICLOCKWISE
157,82,CENTER
113,56,ANTICLOCKWISE
143,73,CENTER
32,20,ANTICLOCKWISE
55,31,ANTICLOCKWISE
150,77,CENTER
199,95,CENTER
120,62,CENTER
69,32,ANTICLOCKWISE
77,37,ANTICLOCKWISE
129,63,CENTER
81,44,ANTICLOCKWISE
101,54,ANTICLOCKWISE
146,73,CENTER
60,32,ANTICLOCKWISE
50,25,ANTICLOCKWISE
20,11,ANTICLOCKWISE
10,4,ANTICLOCKWISE
158,83,CENTER
119,57,ANTICLOCKWISE
191,96,CENTER
66,28,ANTICLOCKWISE
72,36,ANTICLOCKWISE
64,29,ANTICLOCKWISE
177,87,CENTER
184,95,CENTER
62,34,ANTICLOCKWISE
189,97,CENTER
126,67,CENTER
178,86,CENTER
72,34,ANTICLOCKWISE
34,21,ANTICLOCKWISE
84,42,ANTICLOCKWISE
139,70,CENTER
171,80,CENTER
137,65,CENTER
191,97,CENTER
34,18,ANTICLOCKWISE
189,94,CENTER
97,43,ANTICLOCKWISE
186,93,CENTER
163,77,CENTER
58,30,ANTICLOCKWISE
90,43,ANTICLOCKWISE
114,52,ANTICLOCKWISE
157,78,CENTER
95,49,ANTICLOCKWISE
58,30,ANTICLOCKWISE
10,6,ANTICLOCKWISE
188,96,CENTER
71,30,ANTICLOCKWISE
182,93,CENTER
28,10,ANTICLOCKWISE
10,2,ANTICLOCKWISE
184,88,CENTER
122,57,ANTICLOCKWISE
175,84,CENTER
72,34,ANTICLOCKWISE
138,71,CENTER
