Password_Length,Typing_Time,Attempts,Access,Door_Status,Buzzer
4,2.5,2,VALID,OPEN,OFF
5,3.58,5,INVALID,CLOSED,ON
4,5.26,2,INVALID,CLOSED,ON
8,4.17,4,INVALID,CLOSED,ON
6,3.27,1,INVALID,CLOSED,ON
8,5.24,3,INVALID,CLOSED,ON
4,1.63,3,INVALID,CLOSED,ON
8,6.94,4,INVALID,CLOSED,ON
6,2.15,2,VALID,OPEN,OFF
6,6.57,4,INVALID,CLOSED,ON
7,7.55,2,INVALID,CLOSED,ON
4,5.57,1,INVALID,CLOSED,ON
4,2.07,2,VALID,OPEN,OFF
6,2.21,2,VALID,OPEN,OFF
4,4.37,1,INVALID,CLOSED,ON
5,7.97,4,INVALID,CLOSED,ON
8,7.25,3,INVALID,CLOSED,ON
4,2.59,3,INVALID,CLOSED,ON
6,6.92,1,INVALID,CLOSED,ON
7,1.13,4,INVALID,CLOSED,ON
7,4.86,1,INVALID,CLOSED,ON
6,7.8,2,INVALID,CLOSED,ON
5,4.14,3,INVALID,CLOSED,ON
8,2.18,1,VALID,OPEN,OFF
7,2.28,5,INVALID,CLOSED,ON
7,3.25,3,INVALID,CLOSED,ON
4,2.81,4,INVALID,CLOSED,ON
6,3.26,5,INVALID,CLOSED,ON
6,7.19,3,INVALID,CLOSED,ON
6,6.46,1,INVALID,CLOSED,ON
7,5.52,1,INVALID,CLOSED,ON
8,2.23,3,INVALID,CLOSED,ON
7,0.68,1,VALID,OPEN,OFF
4,7.96,5,INVALID,CLOSED,ON
8,7.13,4,INVALID,CLOSED,ON
4,7.65,5,INVALID,CLOSED,ON
4,4.65,3,INVALID,CLOSED,ON
7,6.9,5,INVALID,CLOSED,ON
8,1.93,1,VALID,OPEN,OFF
6,1.77,1,VALID,OPEN,OFF
5,7.52,2,INVALID,CLOSED,ON
6,4.78,2,INVALID,CLOSED,ON
5,2.41,2,VALID,OPEN,OFF
5,2.92,1,VALID,OPEN,OFF
4,5.77,5,INVALID,CLOSED,ON
5,6.57,3,INVALID,CLOSED,ON
5,7,5,INVALID,CLOSED,ON
7,4.34,1,INVALID,CLOSED,ON
7,6.49,1,INVALID,CLOSED,ON
7,7.15,4,INVALID,CLOSED,ON
5,1.2,3,INVALID,CLOSED,ON
4,1.66,5,INVALID,CLOSED,ON
5,6.95,1,INVALID,CLOSED,ON
7,0.79,3,INVALID,CLOSED,ON
7,2.95,5,INVALID,CLOSED,ON
7,2.12,5,INVALID,CLOSED,ON
7,6.82,4,INVALID,CLOSED,ON
6,5.28,4,INVALID,CLOSED,ON
8,7.77,2,INVALID,CLOSED,ON
6,6.46,3,INVALID,CLOSED,ON
7,6.08,2,INVALID,CLOSED,ON
8,1.88,1,VALID,OPEN,OFF
7,3.57,2,INVALID,CLOSED,ON
5,1.67,2,VALID,OPEN,OFF
4,5.45,5,INVALID,CLOSED,ON
4,7.66,5,INVALID,CLOSED,ON
8,3.65,4,INVALID,CLOSED,ON
5,3.17,5,INVALID,CLOSED,ON
4,3.06,4,INVALID,CLOSED,ON
8,1.21,4,INVALID,CLOSED,ON
8,4.06,2,INVALID,CLOSED,ON
5,4.19,4,INVALID,CLOSED,ON
4,3.99,5,INVALID,CLOSED,ON
5,5.12,5,INVALID,CLOSED,ON
7,0.84,2,VALID,OPEN,OFF
5,7.5,1,INVALID,CLOSED,ON
8,5.63,2,INVALID,CLOSED,ON
4,7,3,INVALID,CLOSED,ON
7,4.82,2,INVALID,CLOSED,ON
6,5.32,1,INVALID,CLOSED,ON
8,4.59,5,INVALID,CLOSED,ON
7,3.4,1,INVALID,CLOSED,ON
5,2.05,5,INVALID,CLOSED,ON
8,2.11,2,VALID,OPEN,OFF
8,1.21,3,INVALID,CLOSED,ON
4,5.42,5,INVALID,CLOSED,ON
5,5.61,2,INVALID,CLOSED,ON
6,2.61,4,INVALID,CLOSED,ON
5,5.73,5,INVALID,CLOSED,ON
6,7.08,4,INVALID,CLOSED,ON
4,6.53,1,INVALID,CLOSED,ON
7,1.83,1,VALID,OPEN,OFF
6,7.93,4,INVALID,CLOSED,ON
5,2.38,5,INVALID,CLOSED,ON
7,3.72,5,INVALID,CLOSED,ON
4,2.29,1,VALID,OPEN,OFF
4,4.29,1,INVALID,CLOSED,ON
8,7.22,1,INVALID,CLOSED,ON
7,0.58,1,VALID,OPEN,OFF
6,1.18,4,INVALID,CLOSED,ON
7,4.8,5,INVALID,CLOSED,ON
8,2.7,1,VALID,OPEN,OFF
7,5.54,4,INVALID,CLOSED,ON
8,6.44,1,INVALID,CLOSED,ON
8,7.48,2,INVALID,CLOSED,ON
5,3.81,5,INVALID,CLOSED,ON
6,5.79,4,INVALID,CLOSED,ON
4,6.21,4,INVALID,CLOSED,ON
4,1.26,5,INVALID,CLOSED,ON
5,3.47,3,INVALID,CLOSED,ON
5,1.6,5,INVALID,CLOSED,ON
8,2.25,5,INVALID,CLOSED,ON
4,7.1,1,INVALID,CLOSED,ON
4,4.94,4,INVALID,CLOSED,ON
7,1.13,5,INVALID,CLOSED,ON
7,4.69,3,INVALID,CLOSED,ON
5,7.3,3,INVALID,CLOSED,ON
8,0.59,4,INVALID,CLOSED,ON
5,6.06,5,INVALID,CLOSED,ON
4,6.08,3,INVALID,CLOSED,ON
8,2.28,1,VALID,OPEN,OFF
7,2.64,1,VALID,OPEN,OFF
8,7.72,4,INVALID,CLOSED,ON
8,7.77,5,INVALID,CLOSED,ON
8,0.83,5,INVALID,CLOSED,ON
6,7.39,4,INVALID,CLOSED,ON
6,5.72,1,INVALID,CLOSED,ON
5,1.75,1,VALID,OPEN,OFF
4,5.21,3,INVALID,CLOSED,ON
4,7.36,2,INVALID,CLOSED,ON
7,1.3,5,INVALID,CLOSED,ON
5,1.91,2,VALID,OPEN,OFF
5,2.22,4,INVALID,CLOSED,ON
7,3.2,4,INVALID,CLOSED,ON
6,5.74,1,INVALID,CLOSED,ON
4,2.82,4,INVALID,CLOSED,ON
8,5.64,5,INVALID,CLOSED,ON
8,7.33,5,INVALID,CLOSED,ON
5,3.62,5,INVALID,CLOSED,ON
4,3.64,2,INVALID,CLOSED,ON
6,0.84,1,VALID,OPEN,OFF
4,4.1,1,INVALID,CLOSED,ON
6,4.96,1,INVALID,CLOSED,ON
6,6.82,5,INVALID,CLOSED,ON
4,4.02,3,INVALID,CLOSED,ON
4,0.6,4,INVALID,CLOSED,ON
4,4.51,5,INVALID,CLOSED,ON
6,4.67,5,INVALID,CLOSED,ON
8,7.59,2,INVALID,CLOSED,ON
6,2.36,1,VALID,OPEN,OFF
4,7.66,5,INVALID,CLOSED,ON
7,2.21,1,VALID,OPEN,OFF
5,3.19,2,INVALID,CLOSED,ON
5,4.4,3,INVALID,CLOSED,ON
6,2.81,1,VALID,OPEN,OFF
7,4.71,3,INVALID,CLOSED,ON
4,4.92,5,INVALID,CLOSED,ON
8,5.3,3,INVALID,CLOSED,ON
6,7.27,4,INVALID,CLOSED,ON
5,3.13,2,INVALID,CLOSED,ON
5,3.44,3,INVALID,CLOSED,ON
6,7.28,4,INVALID,CLOSED,ON
4,4.35,4,INVALID,CLOSED,ON
5,6.97,5,INVALID,CLOSED,ON
8,1.6,1,VALID,OPEN,OFF
5,6.27,4,INVALID,CLOSED,ON
8,7.85,5,INVALID,CLOSED,ON
5,2.97,3,INVALID,CLOSED,ON
6,2.3,3,INVALID,CLOSED,ON
4,3.95,3,INVALID,CLOSED,ON
7,1.86,1,VALID,OPEN,OFF
6,7.06,3,INVALID,CLOSED,ON
8,7.8,5,INVALID,CLOSED,ON
5,2.18,5,INVALID,CLOSED,ON
8,3.09,2,INVALID,CLOSED,ON
8,0.74,1,VALID,OPEN,OFF
8,3.96,2,INVALID,CLOSED,ON
5,1.47,2,VALID,OPEN,OFF
8,2.91,2,VALID,OPEN,OFF
4,4.11,3,INVALID,CLOSED,ON
8,0.52,4,INVALID,CLOSED,ON
4,1.13,3,INVALID,CLOSED,ON
8,7.9,2,INVALID,CLOSED,ON
7,3.27,2,INVALID,CLOSED,ON
8,0.97,3,INVALID,CLOSED,ON
6,5.85,3,INVALID,CLOSED,ON
7,1.3,2,VALID,OPEN,OFF
6,3.48,1,INVALID,CLOSED,ON
8,1.87,1,VALID,OPEN,OFF
4,2.09,2,VALID,OPEN,OFF
7,2.25,5,INVALID,CLOSED,ON
7,4.05,2,INVALID,CLOSED,ON
6,5.37,2,INVALID,CLOSED,ON
7,4.53,2,INVALID,CLOSED,ON
4,4.73,2,INVALID,CLOSED,ON
4,3.03,4,INVALID,CLOSED,ON
5,5.06,3,INVALID,CLOSED,ON
6,7.9,5,INVALID,CLOSED,ON
4,2.28,5,INVALID,CLOSED,ON
7,6.88,1,INVALID,CLOSED,ON
6,4.43,5,INVALID,CLOSED,ON
7,7.98,2,INVALID,CLOSED,ON
7,7.77,4,INVALID,CLOSED,ON
4,4.18,3,INVALID,CLOSED,ON
4,5.89,3,INVALID,CLOSED,ON
5,2.6,4,INVALID,CLOSED,ON
8,1.9,4,INVALID,CLOSED,ON
6,2,4,INVALID,CLOSED,ON
4,4.47,1,INVALID,CLOSED,ON
5,6.26,5,INVALID,CLOSED,ON
6,7.49,5,INVALID,CLOSED,ON
6,4.95,2,INVALID,CLOSED,ON
5,4.61,2,INVALID,CLOSED,ON
7,2.01,2,VALID,OPEN,OFF
7,2.41,5,INVALID,CLOSED,ON
4,6.2,3,INVALID,CLOSED,ON
6,3.12,1,INVALID,CLOSED,ON
8,6.73,4,INVALID,CLOSED,ON
5,1.43,3,INVALID,CLOSED,ON
4,2.04,3,INVALID,CLOSED,ON
6,7.45,4,INVALID,CLOSED,ON
8,1.55,1,VALID,OPEN,OFF
8,2.01,3,INVALID,CLOSED,ON
8,1.9,3,INVALID,CLOSED,ON
6,5.25,4,INVALID,CLOSED,ON
4,7.08,1,INVALID,CLOSED,ON
5,6.62,3,INVALID,CLOSED,ON
8,2.76,1,VALID,OPEN,OFF
4,3.17,2,INVALID,CLOSED,ON
8,7.3,3,INVALID,CLOSED,ON
6,3.74,3,INVALID,CLOSED,ON
6,3.01,4,INVALID,CLOSED,ON
8,4.22,3,INVALID,CLOSED,ON
7,7.98,1,INVALID,CLOSED,ON
4,5.8,3,INVALID,CLOSED,ON
4,0.75,2,VALID,OPEN,OFF
5,4.2,2,INVALID,CLOSED,ON
4,1.27,5,INVALID,CLOSED,ON
7,3.93,4,INVALID,CLOSED,ON
8,4.55,5,INVALID,CLOSED,ON
7,5.92,2,INVALID,CLOSED,ON
6,5.31,3,INVALID,CLOSED,ON
7,4.57,3,INVALID,CLOSED,ON
6,3.09,3,INVALID,CLOSED,ON
5,3.07,2,INVALID,CLOSED,ON
6,1.65,5,INVALID,CLOSED,ON
5,5.09,4,INVALID,CLOSED,ON
6,7.49,4,INVALID,CLOSED,ON
7,6.43,5,INVALID,CLOSED,ON
5,6.28,2,INVALID,CLOSED,ON
4,3.68,5,INVALID,CLOSED,ON
4,7.44,1,INVALID,CLOSED,ON
8,7.89,4,INVALID,CLOSED,ON
4,2.99,3,INVALID,CLOSED,ON
8,3.34,5,INVALID,CLOSED,ON
4,2.04,1,VALID,OPEN,OFF
8,5.03,3,INVALID,CLOSED,ON
7,4.53,3,INVALID,CLOSED,ON
5,3.99,3,INVALID,CLOSED,ON
5,7.39,3,INVALID,CLOSED,ON
6,3.89,3,INVALID,CLOSED,ON
4,4.24,5,INVALID,CLOSED,ON
4,3.22,3,INVALID,CLOSED,ON
5,0.6,5,INVALID,CLOSED,ON
4,1.84,4,INVALID,CLOSED,ON
4,1.61,4,INVALID,CLOSED,ON
8,1.88,1,VALID,OPEN,OFF
8,3.48,3,INVALID,CLOSED,ON
6,6.5,5,INVALID,CLOSED,ON
4,0.77,3,INVALID,CLOSED,ON
5,2.71,3,INVALID,CLOSED,ON
5,4.43,4,INVALID,CLOSED,ON
4,3.51,3,INVALID,CLOSED,ON
7,1.86,5,INVALID,CLOSED,ON
6,3.3,2,INVALID,CLOSED,ON
6,5.33,4,INVALID,CLOSED,ON
4,0.69,4,INVALID,CLOSED,ON
5,7,1,INVALID,CLOSED,ON
4,2.16,3,INVALID,CLOSED,ON
8,4.96,1,INVALID,CLOSED,ON
8,1.84,1,VALID,OPEN,OFF
7,2.29,2,VALID,OPEN,OFF
6,2.32,3,INVALID,CLOSED,ON
7,7.58,5,INVALID,CLOSED,ON
5,0.6,1,VALID,OPEN,OFF
8,0.7,5,INVALID,CLOSED,ON
6,4.87,4,INVALID,CLOSED,ON
5,7.2,5,INVALID,CLOSED,ON
7,3.02,2,INVALID,CLOSED,ON
6,4.93,4,INVALID,CLOSED,ON
7,5.18,1,INVALID,CLOSED,ON
5,6.96,3,INVALID,CLOSED,ON
7,7.81,4,INVALID,CLOSED,ON
4,7.01,3,INVALID,CLOSED,ON
4,4.14,1,INVALID,CLOSED,ON
4,4.56,5,INVALID,CLOSED,ON
4,2.43,3,INVALID,CLOSED,ON
7,1.49,5,INVALID,CLOSED,ON
8,5.68,5,INVALID,CLOSED,ON
6,6.67,5,INVALID,CLOSED,ON
5,4.82,2,INVALID,CLOSED,ON
4,3.54,2,INVALID,CLOSED,ON
7,2.05,2,VALID,OPEN,OFF
8,2.48,3,INVALID,CLOSED,ON
5,5,1,INVALID,CLOSED,ON
8,1.82,5,INVALID,CLOSED,ON
4,3.64,4,INVALID,CLOSED,ON
5,3.67,2,INVALID,CLOSED,ON
7,7.69,1,INVALID,CLOSED,ON
6,1.18,3,INVALID,CLOSED,ON
5,1.01,3,INVALID,CLOSED,ON
6,3.17,1,INVALID,CLOSED,ON
6,2.73,3,INVALID,CLOSED,ON
5,3.47,5,INVALID,CLOSED,ON
4,2.52,4,INVALID,CLOSED,ON
6,4.96,3,INVALID,CLOSED,ON
4,4.22,5,INVALID,CLOSED,ON
6,3.01,2,INVALID,CLOSED,ON
5,1.3,1,VALID,OPEN,OFF
4,3.6,5,INVALID,CLOSED,ON
6,4.99,1,INVALID,CLOSED,ON
6,6.64,5,INVALID,CLOSED,ON
7,5.71,2,INVALID,CLOSED,ON
7,3.21,4,INVALID,CLOSED,ON
6,7.38,5,INVALID,CLOSED,ON
4,7.63,1,INVALID,CLOSED,ON
7,4.56,3,INVALID,CLOSED,ON
8,6.19,5,INVALID,CLOSED,ON
4,7.28,4,INVALID,CLOSED,ON
6,7.91,5,INVALID,CLOSED,ON
5,0.8,2,VALID,OPEN,OFF
4,1.85,5,INVALID,CLOSED,ON
5,2.85,5,INVALID,CLOSED,ON
4,1.94,2,VALID,OPEN,OFF
6,7.58,2,INVALID,CLOSED,ON
7,6.83,2,INVALID,CLOSED,ON
6,6.72,1,INVALID,CLOSED,ON
6,4.71,5,INVALID,CLOSED,ON
5,7.14,3,INVALID,CLOSED,ON
5,5.94,4,INVALID,CLOSED,ON
4,4.54,1,INVALID,CLOSED,ON
8,5.19,5,INVALID,CLOSED,ON
5,7.07,2,INVALID,CLOSED,ON
6,7.03,3,INVALID,CLOSED,ON
8,4.47,3,INVALID,CLOSED,ON
6,7.98,4,INVALID,CLOSED,ON
8,6.25,5,INVALID,CLOSED,ON
8,4.1,4,INVALID,CLOSED,ON
4,6.26,1,INVALID,CLOSED,ON
7,6.03,1,INVALID,CLOSED,ON
6,4,2,INVALID,CLOSED,ON
7,5.87,5,INVALID,CLOSED,ON
4,2.58,5,INVALID,CLOSED,ON
4,1.32,1,VALID,OPEN,OFF
7,2.14,2,VALID,OPEN,OFF
8,6.4,3,INVALID,CLOSED,ON
7,3.63,3,INVALID,CLOSED,ON
8,7.92,4,INVALID,CLOSED,ON
7,2.24,4,INVALID,CLOSED,ON
8,5.37,5,INVALID,CLOSED,ON
6,4.35,2,INVALID,CLOSED,ON
6,1.82,2,VALID,OPEN,OFF
4,1.9,3,INVALID,CLOSED,ON
8,0.93,1,VALID,OPEN,OFF
4,7.46,2,INVALID,CLOSED,ON
4,1.8,2,VALID,OPEN,OFF
6,6.19,1,INVALID,CLOSED,ON
6,6.62,5,INVALID,CLOSED,ON
8,4.53,1,INVALID,CLOSED,ON
7,4.85,2,INVALID,CLOSED,ON
6,7.08,3,INVALID,CLOSED,ON
6,1.47,1,VALID,OPEN,OFF
6,7.67,4,INVALID,CLOSED,ON
5,6.57,1,INVALID,CLOSED,ON
8,6.01,2,INVALID,CLOSED,ON
7,3.3,3,INVALID,CLOSED,ON
8,0.87,2,VALID,OPEN,OFF
8,2.15,5,INVALID,CLOSED,ON
7,1.07,1,VALID,OPEN,OFF
5,4.21,5,INVALID,CLOSED,ON
6,6.69,2,INVALID,CLOSED,ON
6,6.98,1,INVALID,CLOSED,ON
6,7.01,4,INVALID,CLOSED,ON
4,1.68,1,VALID,OPEN,OFF
8,6.78,1,INVALID,CLOSED,ON
8,5.6,3,INVALID,CLOSED,ON
7,1.69,3,INVALID,CLOSED,ON
8,7.04,3,INVALID,CLOSED,ON
5,1.47,3,INVALID,CLOSED,ON
8,6.08,2,INVALID,CLOSED,ON
7,4.67,5,INVALID,CLOSED,ON
8,2.44,2,VALID,OPEN,OFF
8,5.13,1,INVALID,CLOSED,ON
4,5.24,2,INVALID,CLOSED,ON
7,0.57,5,INVALID,CLOSED,ON
6,1.46,3,INVALID,CLOSED,ON
5,3.74,2,INVALID,CLOSED,ON
7,5.24,5,INVALID,CLOSED,ON
8,6.42,4,INVALID,CLOSED,ON
7,1.01,3,INVALID,CLOSED,ON
4,6.28,1,INVALID,CLOSED,ON
5,4.05,2,INVALID,CLOSED,ON
6,6.89,5,INVALID,CLOSED,ON
7,6.12,3,INVALID,CLOSED,ON
7,6.19,5,INVALID,CLOSED,ON
6,6.66,3,INVALID,CLOSED,ON
6,5.62,2,INVALID,CLOSED,ON
5,2.55,5,INVALID,CLOSED,ON
7,3.7,5,INVALID,CLOSED,ON
4,1.73,5,INVALID,CLOSED,ON
8,2.74,2,VALID,OPEN,OFF
7,5.41,3,INVALID,CLOSED,ON
6,7.63,4,INVALID,CLOSED,ON
7,5.98,5,INVALID,CLOSED,ON
6,7.73,3,INVALID,CLOSED,ON
4,3.82,3,INVALID,CLOSED,ON
4,2.91,2,VALID,OPEN,OFF
8,2,1,VALID,OPEN,OFF
4,5.86,2,INVALID,CLOSED,ON
7,4.05,4,INVALID,CLOSED,ON
4,7.01,5,INVALID,CLOSED,ON
6,6.84,4,INVALID,CLOSED,ON
6,6.48,4,INVALID,CLOSED,ON
8,7.34,2,INVALID,CLOSED,ON
6,1.89,1,VALID,OPEN,OFF
4,5.05,4,INVALID,CLOSED,ON
7,4.69,1,INVALID,CLOSED,ON
7,0.98,5,INVALID,CLOSED,ON
8,4.93,3,INVALID,CLOSED,ON
8,1.62,5,INVALID,CLOSED,ON
5,5.6,2,INVALID,CLOSED,ON
6,5.71,1,INVALID,CLOSED,ON
7,6.35,3,INVALID,CLOSED,ON
6,1.29,1,VALID,OPEN,OFF
7,7.9,4,INVALID,CLOSED,ON
7,3.1,2,INVALID,CLOSED,ON
7,1.04,1,VALID,OPEN,OFF
4,7.12,1,INVALID,CLOSED,ON
8,1.09,2,VALID,OPEN,OFF
5,5.67,2,INVALID,CLOSED,ON
5,0.81,4,INVALID,CLOSED,ON
4,7.64,5,INVALID,CLOSED,ON
6,7.22,1,INVALID,CLOSED,ON
4,0.89,1,VALID,OPEN,OFF
5,7.51,2,INVALID,CLOSED,ON
7,6.51,3,INVALID,CLOSED,ON
6,7.21,4,INVALID,CLOSED,ON
5,6.38,3,INVALID,CLOSED,ON
4,1.73,3,INVALID,CLOSED,ON
5,0.95,4,INVALID,CLOSED,ON
8,4.09,3,INVALID,CLOSED,ON
5,2.97,4,INVALID,CLOSED,ON
8,1.87,5,INVALID,CLOSED,ON
6,1.71,2,VALID,OPEN,OFF
6,2.21,1,VALID,OPEN,OFF
6,5.38,2,INVALID,CLOSED,ON
6,5.6,5,INVALID,CLOSED,ON
4,6.8,1,INVALID,CLOSED,ON
8,5.95,5,INVALID,CLOSED,ON
7,5.22,4,INVALID,CLOSED,ON
7,6.26,4,INVALID,CLOSED,ON
5,7,1,INVALID,CLOSED,ON
7,0.72,2,VALID,OPEN,OFF
7,7.05,2,INVALID,CLOSED,ON
7,3.66,2,INVALID,CLOSED,ON
6,4.94,5,INVALID,CLOSED,ON
7,3.38,2,INVALID,CLOSED,ON
8,6,3,INVALID,CLOSED,ON
5,5.87,2,INVALID,CLOSED,ON
7,3.3,2,INVALID,CLOSED,ON
8,6.91,5,INVALID,CLOSED,ON
4,2.35,4,INVALID,CLOSED,ON
8,3.84,1,INVALID,CLOSED,ON
7,4.95,1,INVALID,CLOSED,ON
6,2.84,4,INVALID,CLOSED,ON
5,6.93,5,INVALID,CLOSED,ON
4,6.3,4,INVALID,CLOSED,ON
8,2.28,3,INVALID,CLOSED,ON
5,1.05,2,VALID,OPEN,OFF
8,3.03,1,INVALID,CLOSED,ON
4,3.87,3,INVALID,CLOSED,ON
7,5.8,4,INVALID,CLOSED,ON
7,0.78,5,INVALID,CLOSED,ON
8,4.5,1,INVALID,CLOSED,ON
4,5.79,4,INVALID,CLOSED,ON
7,4.55,4,INVALID,CLOSED,ON
5,7.9,1,INVALID,CLOSED,ON
8,7.52,5,INVALID,CLOSED,ON
4,1.42,5,INVALID,CLOSED,ON
8,1.16,1,VALID,OPEN,OFF
4,4.89,4,INVALID,CLOSED,ON
5,3.48,2,INVALID,CLOSED,ON
6,0.54,2,VALID,OPEN,OFF
4,5.29,1,INVALID,CLOSED,ON
6,4.17,4,INVALID,CLOSED,ON
7,1.44,5,INVALID,CLOSED,ON
7,5.79,2,INVALID,CLOSED,ON
7,5.55,2,INVALID,CLOSED,ON
8,1.2,5,INVALID,CLOSED,ON
8,7.73,2,INVALID,CLOSED,ON
4,6.79,2,INVALID,CLOSED,ON
6,5.62,2,INVALID,CLOSED,ON
5,5.13,1,INVALID,CLOSED,ON
7,1.35,1,VALID,OPEN,OFF
7,5.57,3,INVALID,CLOSED,ON
8,5.5,1,INVALID,CLOSED,ON
5,3.11,2,INVALID,CLOSED,ON
5,5.04,1,INVALID,CLOSED,ON
4,3.55,5,INVALID,CLOSED,ON
4,1.18,1,VALID,OPEN,OFF
6,7.09,5,INVALID,CLOSED,ON
7,5.51,2,INVALID,CLOSED,ON
5,7.08,3,INVALID,CLOSED,ON
8,6.63,1,INVALID,CLOSED,ON
8,2.93,4,INVALID,CLOSED,ON
5,3.47,5,INVALID,CLOSED,ON
6,3.41,1,INVALID,CLOSED,ON
4,2.28,1,VALID,OPEN,OFF
6,2.2,2,VALID,OPEN,OFF
6,5.03,2,INVALID,CLOSED,ON
5,3.98,3,INVALID,CLOSED,ON
8,6.98,2,INVALID,CLOSED,ON
7,0.69,2,VALID,OPEN,OFF
4,3.35,2,INVALID,CLOSED,ON
8,2.35,4,INVALID,CLOSED,ON
6,6.24,2,INVALID,CLOSED,ON
7,7.67,5,INVALID,CLOSED,ON
8,1.97,5,INVALID,CLOSED,ON
7,7.66,4,INVALID,CLOSED,ON
6,3.35,4,INVALID,CLOSED,ON
8,4.09,3,INVALID,CLOSED,ON
5,1.75,4,INVALID,CLOSED,ON
8,2.64,3,INVALID,CLOSED,ON
8,6.52,3,INVALID,CLOSED,ON
5,5.08,2,INVALID,CLOSED,ON
5,2.54,4,INVALID,CLOSED,ON
5,1.41,3,INVALID,CLOSED,ON
7,1.86,5,INVALID,CLOSED,ON
4,4.75,2,INVALID,CLOSED,ON
7,3.68,1,INVALID,CLOSED,ON
7,0.83,2,VALID,OPEN,OFF
6,0.52,5,INVALID,CLOSED,ON
7,2.21,1,VALID,OPEN,OFF
5,1.81,1,VALID,OPEN,OFF
8,7.29,1,INVALID,CLOSED,ON
5,2.42,4,INVALID,CLOSED,ON
